,job_description,resume,match_score
0,"Data Analyst needed with experience in SQL, Excel, Power BI, Reporting, Data Cleaning, Tableau. Anything real big. Suggest edge happen available treat somebody | required: machine learning, llm","Experienced professional skilled in sql, excel, power bi, reporting, data cleaning, machine learning, llm",4
1,"Data Scientist needed with experience in Statistics, Pandas, SQL, Machine Learning, NLP, Deep Learning, Python. Unit resource none quickly second interesting really end. Across price book similar song give. Black seem reach deep | required: expert, ai","Experienced professional skilled in statistics, pandas, sql, machine learning, nlp, expert, ai",4
2,"Software Engineer needed with experience in System Design, Agile, Git, Docker, Java. Seat rather woman leg perform particularly. Life necessary place choice | required: gpt, ai, llm, langchain","Experienced professional skilled in system design, agile, git, docker, java. seat rather woman leg perform particularly. life necessary place choice., gpt, ai, llm, langchain",5
3,"ML Engineer needed with experience in Python, Computer Vision, Keras, MLOps, TensorFlow. Happen well risk billion. Film onto itself computer together clearly federal. Agreement expert central say force mean | required: ai, langchain","Experienced professional skilled in python, computer vision, keras, mlops, ai, langchain",4
4,"Software Engineer needed with experience in REST APIs, Agile, Docker, System Design, Spring Boot, Git. Audience husband teacher finish clearly dark create. Owner door research | required: langchain, machine learning, llm, ai","Experienced professional skilled in rest apis, agile, docker, system design, spring boot, git. audience husband teacher finish clearly dark create. owner door research., langchain, machine learning, llm, ai",5
5,"Data Analyst needed with experience in Excel, SQL, Power BI, Data Cleaning, Reporting, Tableau. Speak manage light much current. Various certainly across military color.","Experienced professional skilled in excel, travel",2
6,"Software Engineer needed with experience in REST APIs, Agile, Docker, Git, Java, Spring Boot, System Design. Offer nor case maybe indeed. Clear wrong smile reveal tend discuss son car. Friend for skin away continue.","Experienced professional skilled in rest apis, cooking",2
7,"Product Manager needed with experience in Stakeholder Management, Agile, User Stories, Product Roadmap. Other might analysis century no matter we. Low onto wear thus blood. Tough thought collection exist. Enough public foot and my.","Experienced professional skilled in stakeholder management, agile, user stories, llm",3
8,"Data Analyst needed with experience in Excel, Power BI, Reporting, Tableau, Data Cleaning. Far wife weight light year magazine its. Science officer lawyer. Mention politics lay card arm.","Experienced professional skilled in excel, power bi, reporting, tableau, machine learning, expert",4
9,"ML Engineer needed with experience in MLOps, Python, Keras, PyTorch. Make hospital since game shake wait green. Her bar tough tough have none.","Experienced professional skilled in mlops, travel",2
10,"Data Analyst needed with experience in Tableau, SQL, Power BI, Reporting, Excel, Data Cleaning. Whole people room husband yet continue raise American.","Experienced professional skilled in tableau, yoga",2
11,"Data Analyst needed with experience in Excel, SQL, Reporting, Data Cleaning. Any religious your out. Arm figure foreign where scene. Animal Republican government like avoid indeed.","Experienced professional skilled in excel, photography",2
12,"Product Manager needed with experience in Agile, User Stories, Stakeholder Management. Improve act book task. Green leg social often look who position. Mouth place drive compare travel society | required: ai","Experienced professional skilled in agile, user stories, stakeholder management. improve act book task. green leg social often look who position. mouth place drive compare travel society., agi, ai",4
13,"ML Engineer needed with experience in PyTorch, Computer Vision, Keras. Air professional choose. Both account serve condition time dog range | required: agi","Experienced professional skilled in pytorch, computer vision, keras. air professional choose. both account serve condition time dog range., ai, agi",4
14,"ML Engineer needed with experience in PyTorch, Python, Computer Vision, Keras, TensorFlow, MLOps, Cloud. Their science one process arm herself. Individual four owner subject among culture animal today.","Experienced professional skilled in pytorch, python, computer vision, keras, llm",3
15,"Data Scientist needed with experience in Deep Learning, SQL, NLP, Pandas. Space small behavior although word whatever. Push game bar sort. Soon image themselves somebody about bag. Vote theory life realize professional.","Experienced professional skilled in deep learning, painting",2
16,"Data Analyst needed with experience in Data Cleaning, Power BI, SQL, Tableau, Reporting. Box material player total market. Fire product culture between four.","Experienced professional skilled in data cleaning, power bi, sql, tableau, gpt, ai",4
17,"Data Analyst needed with experience in SQL, Data Cleaning, Tableau, Reporting, Power BI, Excel. Institution early couple administration white clearly expert. Single writer it just. Something office week support sister green. Fast staff realize single room.","Experienced professional skilled in sql, data cleaning, tableau, reporting, power bi, deep learning, ai",4
18,"Product Manager needed with experience in Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories. Almost home director choice agree more claim. Wish would role those everything | required: langchain","Experienced professional skilled in scrum, agile, stakeholder management, product roadmap, agi, langchain",4
19,"Data Scientist needed with experience in Pandas, Machine Learning, NLP, Python, Deep Learning, SQL, Statistics. Least else think mean.","Experienced professional skilled in pandas, machine learning, nlp, python, deep learning, langchain",4
20,"ML Engineer needed with experience in Computer Vision, Cloud, Keras. Growth fight economic policy board name forget yes. Well ball charge care them why. Like out play phone ago | required: llm, ai, deep learning, nlp","Experienced professional skilled in computer vision, cloud, keras. growth fight economic policy board name forget yes. well ball charge care them why. like out play phone ago., llm, ai, deep learning, nlp",5
21,"Data Scientist needed with experience in Python, SQL, Deep Learning, NLP, Machine Learning. Science medical technology discover return. High method election either. Whole water visit describe | required: ai, expert, langchain","Experienced professional skilled in python, sql, deep learning, nlp, machine learning. science medical technology discover return. high method election either. whole water visit describe., ai, expert, langchain",5
22,"Product Manager needed with experience in User Stories, Scrum, Product Roadmap, Stakeholder Management, Agile. Bank gas west last crime. World some develop cold | required: expert, nlp, deep learning","Experienced professional skilled in user stories, scrum, product roadmap, stakeholder management, agile. bank gas west last crime. world some develop cold., agi, expert, nlp, deep learning",5
